,Unnamed: 0_x,date,max_temp_x,postcode,city,Unnamed: 0_y,max_temp_y
0,4088,20180523.0,23.1,45133.0,Essen,3,23.2
1,4095,20180530.0,27.2,45133.0,Essen,13,28.3
2,4103,20180607.0,28.1,45133.0,Essen,23,29.3
3,4104,20180608.0,22.0,45133.0,Essen,33,25.3
4,4105,20180609.0,27.2,45133.0,Essen,43,27.0
5,4106,20180610.0,24.3,45133.0,Essen,53,26.0
6,4107,20180611.0,21.8,45133.0,Essen,63,22.5
7,4108,20180612.0,18.1,45133.0,Essen,73,19.0
8,4109,20180613.0,17.3,45133.0,Essen,83,18.6
9,4110,20180614.0,20.6,45133.0,Essen,93,21.7
10,4111,20180615.0,23.3,45133.0,Essen,103,22.3
11,4112,20180616.0,23.6,45133.0,Essen,113,22.7
12,4113,20180617.0,18.5,45133.0,Essen,123,19.9
13,4114,20180618.0,20.9,45133.0,Essen,133,21.6
14,4115,20180619.0,20.8,45133.0,Essen,143,22.0
15,4116,20180620.0,26.7,45133.0,Essen,153,26.9
16,4117,20180621.0,19.5,45133.0,Essen,163,17.9
17,4118,20180622.0,17.2,45133.0,Essen,173,16.0
18,4119,20180623.0,18.1,45133.0,Essen,183,17.7
19,4120,20180624.0,17.2,45133.0,Essen,193,18.2
20,4121,20180625.0,21.2,45133.0,Essen,203,22.9
21,4122,20180626.0,17.7,45133.0,Essen,213,22.5
22,4123,20180627.0,25.4,45133.0,Essen,223,26.3
23,4124,20180628.0,26.8,45133.0,Essen,233,26.1
24,4125,20180629.0,28.0,45133.0,Essen,243,27.1
25,4126,20180630.0,26.8,45133.0,Essen,253,27.8
26,4128,20180702.0,26.2,45133.0,Essen,263,26.2
27,8475,20180523.0,25.4,4288.0,Leipzig,7,23.5
28,8482,20180530.0,28.7,4288.0,Leipzig,17,26.8
29,8490,20180607.0,29.3,4288.0,Leipzig,27,26.6
30,8491,20180608.0,29.8,4288.0,Leipzig,37,28.2
31,8492,20180609.0,32.0,4288.0,Leipzig,47,29.0
32,8493,20180610.0,27.1,4288.0,Leipzig,57,29.0
33,8494,20180611.0,24.5,4288.0,Leipzig,67,24.6
34,8495,20180612.0,20.9,4288.0,Leipzig,77,21.8
35,8496,20180613.0,16.9,4288.0,Leipzig,87,19.0
36,8497,20180614.0,21.9,4288.0,Leipzig,97,22.1
37,8498,20180615.0,21.1,4288.0,Leipzig,107,22.3
38,8499,20180616.0,26.3,4288.0,Leipzig,117,26.4
39,8500,20180617.0,25.8,4288.0,Leipzig,127,24.2
40,8501,20180618.0,24.6,4288.0,Leipzig,137,23.1
41,8502,20180619.0,25.1,4288.0,Leipzig,147,25.2
42,8503,20180620.0,30.2,4288.0,Leipzig,157,27.7
43,8504,20180621.0,28.3,4288.0,Leipzig,167,25.8
44,8505,20180622.0,18.0,4288.0,Leipzig,177,17.7
45,8506,20180623.0,14.9,4288.0,Leipzig,187,14.8
46,8507,20180624.0,15.5,4288.0,Leipzig,197,15.1
47,8508,20180625.0,22.2,4288.0,Leipzig,207,21.4
48,8509,20180626.0,23.0,4288.0,Leipzig,217,21.7
49,8510,20180627.0,24.4,4288.0,Leipzig,227,23.1
50,8511,20180628.0,27.4,4288.0,Leipzig,237,26.4
51,8512,20180629.0,30.3,4288.0,Leipzig,247,27.5
52,8513,20180630.0,22.8,4288.0,Leipzig,257,22.8
53,8515,20180702.0,24.5,4288.0,Leipzig,267,23.3
